"logit_1_0";"X_INDEX";"Y_INDEX"
0;454500;4790500
0;328500;4226500
0;202500;4676500
0;461500;4180500
0;236500;4285500
0;49500;4719500
0;114500;4165500
0;245500;4820500
0;243500;4341500
0;553500;4769500
0;311500;4429500
0;297500;4749500
0;199500;4760500
0;333500;4797500
0;449500;4239500
0;209500;4825500
0;158500;4125500
0;211500;4789500
0;269500;4473500
0;214500;4824500
0;259500;4812500
0;238500;4809500
0;264500;4774500
0;213500;4467500
0;224500;4687500
0;613500;4764500
0;191500;4795500
0;241500;4362500
0;201500;4670500
0;508500;4766500
0;238500;4812500
0;455500;4716500
0;274500;4787500
0;215500;4753500
0;244500;4294500
0;199500;4788500
0;295500;4035500
0;358500;4458500
0;434500;4766500
0;202500;4807500
0;271500;4834500
0;227500;4702500
0;167500;4275500
0;231500;4807500
0;164500;4697500
0;299500;4031500
0;575500;4653500
0;734500;4717500
0;257500;4222500
0;267500;4787500
0;17500;4750500
0;233500;4598500
0;198500;4258500
0;440500;4789500
0;231500;4666500
0;514500;4780500
0;265500;4735500
0;216500;4801500
0;807500;4719500
0;303500;4470500
0;228500;4813500
0;208500;4796500
0;582500;4793500
0;235500;4487500
0;191500;4794500
0;818500;4737500
0;39500;4691500
0;333500;4294500
0;549500;4776500
0;210500;4459500
0;144500;4684500
0;357500;4806500
0;184500;4712500
0;162500;4275500
0;254500;4825500
0;191500;4772500
0;239500;4248500
0;117500;4701500
0;174500;4709500
0;325500;4795500
0;306500;4497500
0;222500;4161500
0;923500;4628500
0;180500;4662500
0;396500;4217500
0;399500;4219500
0;221500;4798500
0;667500;4630500
0;454500;4707500
0;312500;4044500
0;325500;4815500
0;206500;4803500
0;312500;4039500
0;169500;4462500
0;196500;4673500
0;203500;4666500
0;171500;4734500
0;227500;4781500
0;207500;4790500
0;492500;4782500
0;212500;4695500
0;335500;4811500
0;405500;4768500
0;334500;4470500
0;496500;4077500
0;73500;4830500
0;315500;4802500
0;190500;4783500
0;560500;4080500
0;176500;4195500
